"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2025","25,555.0","25,535.0","25,555.0","25,545.0","","0.08%"
"03/19/2025","25,535.0","25,530.0","25,550.0","25,525.0","","0.10%"
"03/18/2025","25,510.0","25,525.0","25,550.0","25,520.0","","0.00%"
"03/17/2025","25,510.0","25,520.0","25,586.0","25,475.0","","0.04%"
"03/14/2025","25,500.0","25,520.0","25,532.5","25,465.0","","0.04%"
"03/13/2025","25,490.0","25,475.0","25,512.5","25,465.0","","0.18%"
"03/12/2025","25,445.0","25,485.0","25,515.0","25,450.0","","-0.02%"
"03/11/2025","25,450.0","25,512.5","25,520.0","25,462.0","","-0.29%"
"03/10/2025","25,525.0","25,515.0","25,568.5","25,510.0","","0.18%"
"03/07/2025","25,480.0","25,449.0","25,552.5","25,435.0","","-0.02%"
"03/06/2025","25,485.0","25,450.0","25,516.5","25,430.0","","-0.02%"
"03/05/2025","25,490.0","25,515.0","25,586.0","25,495.0","","-0.20%"
"03/04/2025","25,540.0","25,580.0","25,596.5","25,555.0","","-0.14%"
"03/03/2025","25,575.0","25,554.0","25,617.5","25,548.0","","0.18%"
"02/28/2025","25,530.0","25,553.5","25,573.0","25,540.0","","0.04%"
"02/27/2025","25,520.0","25,551.5","25,566.0","25,489.5","","-0.06%"
"02/26/2025","25,535.0","25,482.5","25,572.5","25,482.5","","0.06%"
"02/25/2025","25,520.0","25,470.0","25,537.5","25,466.0","","0.20%"
"02/24/2025","25,468.0","25,485.0","25,535.0","25,468.5","","-0.16%"
"02/21/2025","25,510.0","25,480.0","25,545.0","25,475.0","","0.04%"
"02/20/2025","25,500.0","25,525.0","25,574.5","25,515.0","","-0.06%"
"02/19/2025","25,515.0","25,530.0","25,574.5","25,500.0","","0.06%"
"02/18/2025","25,500.0","25,510.0","25,580.0","25,425.0","","0.12%"
"02/17/2025","25,470.0","25,390.0","25,482.5","25,390.0","","0.39%"
"02/14/2025","25,370.0","25,415.0","25,460.5","25,385.0","","-0.28%"
"02/13/2025","25,440.0","25,535.0","25,535.0","25,400.0","","-0.43%"
"02/12/2025","25,550.0","25,490.0","25,607.0","25,490.0","","0.08%"
"02/11/2025","25,530.0","25,420.0","25,540.0","25,420.0","","0.59%"
"02/10/2025","25,380.0","25,375.0","25,405.0","25,367.5","","0.36%"
