PS_NO,dd,cus_no,cur_id,prd_no,qty,amt
SA250312F004,3/12/2025,GG047,USD,SDC016040B07000000102,500,5
SA250312F004,3/12/2025,GG047,USD,SDC046040B07000000101,1000,70
SA250312F004,3/12/2025,GG047,USD,SDC056040B07000000102,1000,10
SA250312F004,3/12/2025,GG047,USD,SDC406040B07000000402,500,70
SA250312F018,3/12/2025,A0379,,SXV02529SCA003001,200,6054545
SA250312F007,3/12/2025,GG047,USD,SEA10000S10101,200,20
SA250312F007,3/12/2025,GG047,USD,SEA1T191S11P01,200,40
SA250312F011,3/12/2025,A0379,,PS051H4DB07000000001,5,1018182
SA250312F011,3/12/2025,A0379,,PS051H4DH66000000001,6,1191818
SA250312F011,3/12/2025,A0379,,PS051H4DLA8000000001,5,1018182
SA250312F011,3/12/2025,A0379,,PS051H4DR12000000001,4,814545
SA250312F001,3/12/2025,GG047,USD,SDA6042B0710971BT1911,500,1500
SA250312F001,3/12/2025,GG047,USD,SEA10000S10101,500,50
SA250312F001,3/12/2025,GG047,USD,SEA1T191S11P01,500,100
SA250312F001,3/12/2025,GG047,USD,MCB1T19501D01,500,50
SA250312F001,3/12/2025,GG047,USD,MCA1T19501101,84,8.4
SA250312F014,3/12/2025,A0379,,SXV02529SCA001001,300,9081818
SA250312F017,3/12/2025,A0379,,SXV02529SCA001001,100,3027273
SA250312F017,3/12/2025,A0379,,SXV02529SCA003001,100,3027273
SA250312F009,3/12/2025,GG047,USD,MCA3Z01512202,4,0.4
SA250312F009,3/12/2025,GG047,USD,MCB3Z01501D01,26,2.6
SA250312F009,3/12/2025,GG047,USD,SDA6162W01000000P1611,26,78
SA250312F009,3/12/2025,GG047,USD,SEA10000S10101,26,2.6
SA250312F009,3/12/2025,GG047,USD,SEA1Z011S11102,26,5.2
SA250312F006,3/12/2025,GG047,USD,SAD2604036B1001,200,12
SA250312F006,3/12/2025,GG047,USD,SAN10010EB101,400,2.8
SA250312F012,3/12/2025,A0379,,PS05310DB07000000F01,80,22581818
SA250312F010,3/12/2025,A0379,,PS05848DG54B046B1G01,1,432545
SA250312F010,3/12/2025,A0379,,PS05848DH48B04519G01,2,865091
SA250312F010,3/12/2025,A0379,,PS05848DH48B0451BG01,2,865091
SA250312F010,3/12/2025,A0379,,PS05848DH68B046B1G01,1,432545
