"prd_no","logo","model","std","color","sqa","sqa_color","size","prd_name"
PA011553C01000000D01,ASTONE,"1200D",CNS,透明碳纖,素色,素色,S,ASTONE 1200D(GTR) CNS 透明碳纖 S
PA011553C01000000E01,ASTONE,"1200D",CNS,透明碳纖,素色,素色,M,ASTONE 1200D(GTR) CNS 透明碳纖 M
PA011553C01000000F01,ASTONE,"1200D",CNS,透明碳纖,素色,素色,L,ASTONE 1200D(GTR) CNS 透明碳纖 L
PA011553C01000000G01,ASTONE,"1200D",CNS,透明碳纖,素色,素色,XL,ASTONE 1200D(GTR) CNS 透明碳纖 XL
PA011553C01000000H01,ASTONE,"1200D",CNS,透明碳纖,素色,素色,"2XL",ASTONE 1200D(GTR) CNS 透明碳纖 2XL
PA011553C02N0681BD01,ASTONE,"1200D",CNS,抗刮消光透明碳纖,N55水漂,紅,S,ASTONE 1200D(GTR) CNS N55 抗刮消光透明碳纖/紅 S
PA011553C02N0681BE01,ASTONE,"1200D",CNS,抗刮消光透明碳纖,N55水漂,紅,M,ASTONE 1200D(GTR) CNS N55 抗刮消光透明碳纖/紅 M
PA011553C02N0681BF01,ASTONE,"1200D",CNS,抗刮消光透明碳纖,N55水漂,紅,L,ASTONE 1200D(GTR) CNS N55 抗刮消光透明碳纖/紅 L
PA011553C02N0681BG01,ASTONE,"1200D",CNS,抗刮消光透明碳纖,N55水漂,紅,XL,ASTONE 1200D(GTR) CNS N55 抗刮消光透明碳纖/紅 XL
PA011553C02N0681BH01,ASTONE,"1200D",CNS,抗刮消光透明碳纖,N55水漂,紅,"2XL",ASTONE 1200D(GTR) CNS N55 抗刮消光透明碳纖/紅 2XL
PA011933B05000000D01,ASTONE,"1300",CNS,彈性黑,素色,素色,S,ASTONE 1300(GT1000F) CNS 彈性黑 S
PA011933B05000000E01,ASTONE,"1300",CNS,彈性黑,素色,素色,M,ASTONE 1300(GT1000F) CNS 彈性黑 M
PA011933B05000000F01,ASTONE,"1300",CNS,彈性黑,素色,素色,L,ASTONE 1300(GT1000F) CNS 彈性黑 L
PA011933B05000000G01,ASTONE,"1300",CNS,彈性黑,素色,素色,XL,ASTONE 1300(GT1000F) CNS 彈性黑 XL
PA011933B05000000H01,ASTONE,"1300",CNS,彈性黑,素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 彈性黑 2XL
PA011933B07000000D01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,S,ASTONE 1300(GT1000F) CNS 抗刮消光黑 S
PA011933B07000000E01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,M,ASTONE 1300(GT1000F) CNS 抗刮消光黑 M
